timestamp,usage
2020-03-01,9605
2020-03-02,8862
2020-03-03,11153
2020-03-04,10851
2020-03-05,11442
2020-03-06,10095
2020-03-07,9883
2020-03-08,10470
2020-03-09,8964
2020-03-10,11650
2020-03-11,10951
2020-03-12,11213
2020-03-13,10044
2020-03-14,10497
2020-03-15,10874
2020-03-16,9560
2020-03-17,12873
2020-03-18,9385
2020-03-19,8090
2020-03-20,7982
2020-03-21,7224
2020-03-22,9821
2020-03-23,8615
2020-03-24,9765
2020-03-25,9600
2020-03-26,9611
2020-03-27,9489
2020-03-28,9134
2020-03-29,9812
2020-03-30,9222
2020-03-31,9854
2020-04-01,10269
2020-04-02,11367
2020-04-03,8416
2020-04-04,8245
2020-04-05,8246
2020-04-06,8570
2020-04-07,8026
2020-04-08,8293
2020-04-09,8012
2020-04-10,8381
2020-04-11,8127
2020-04-12,8155
2020-04-13,8015
2020-04-14,9039
2020-04-15,8486
2020-04-16,8214
2020-04-17,8282
2020-04-18,7177
2020-04-19,10178
2020-04-20,8821
2020-04-21,8801
2020-04-22,9274
2020-04-23,8925
2020-04-24,8586
2020-04-25,8468
2020-04-26,8204
2020-04-27,9156
2020-04-28,9458
2020-04-29,9188
2020-04-30,8624
2020-05-01,8961
2020-05-02,8772
2020-05-03,8619
2020-05-04,8754
2020-05-05,9188
2020-05-06,9353
2020-05-07,8853
2020-05-08,8547
2020-05-09,8430
2020-05-10,8936
2020-05-11,8512
2020-05-12,9322
2020-05-13,9303
2020-05-14,8669
2020-05-15,8426
2020-05-16,8219
2020-05-17,8260
2020-05-18,9263
2020-05-19,9123
2020-05-20,9266
2020-05-21,8694
2020-05-22,8389
2020-05-23,8556
2020-05-24,8919
2020-05-25,8535
2020-05-26,9557
2020-05-27,9443
2020-05-28,8902
2020-05-29,9081
2020-05-30,8478
2020-05-31,8612
2020-06-01,9014
2020-06-02,9395
2020-06-03,10051
2020-06-04,9640
2020-06-05,8766
2020-06-06,8885
2020-06-07,9330
2020-06-08,9433
2020-06-09,9729
2020-06-10,9570
2020-06-11,9453
2020-06-12,9257
2020-06-13,8828
2020-06-14,8471
2020-06-15,9518
2020-06-16,9815
2020-06-17,10086
2020-06-18,9537
2020-06-19,9447
2020-06-20,9183
2020-06-21,9028
2020-06-22,9208
2020-06-23,10616
2020-06-24,10203
2020-06-25,10094
2020-06-26,9873
2020-06-27,9274
2020-06-28,9426
2020-06-29,10025
2020-06-30,10548
2020-07-01,10763
2020-07-02,10206
2020-07-03,9909
2020-07-04,9222
2020-07-05,8261
2020-07-06,9872
2020-07-07,11077
2020-07-08,10532
2020-07-09,10215
2020-07-10,9515
2020-07-11,9775
2020-07-12,9293
2020-07-13,9875
2020-07-14,10980
2020-07-15,10561
2020-07-16,10170
2020-07-17,9896
2020-07-18,9839
2020-07-19,9174
2020-07-20,9820
2020-07-21,10818
2020-07-22,10297
2020-07-23,9999
2020-07-24,9000
2020-07-25,10166
2020-07-26,9124
2020-07-27,10212
2020-07-28,10960
2020-07-29,10669
2020-07-30,10233
2020-07-31,9751
2020-08-01,9869
2020-08-02,9582
2020-08-03,10347
2020-08-04,11141
2020-08-05,10882
2020-08-06,10418
2020-08-07,9769
2020-08-08,9845
2020-08-09,9393
2020-08-10,10256
2020-08-11,11020
2020-08-12,10855
2020-08-13,10452
2020-08-14,9867
2020-08-15,9938
2020-08-16,9518
2020-08-17,10467
2020-08-18,11224
2020-08-19,10437
2020-08-20,10105
2020-08-21,9709
2020-08-22,9703
2020-08-23,9721
2020-08-24,10522
2020-08-25,11241
2020-08-26,12276
2020-08-27,10360
2020-08-28,9972
2020-08-29,9810
2020-08-30,26174
2020-08-31,9955
2020-09-01,11194
2020-09-02,11659
2020-09-03,10690
2020-09-04,9872
2020-09-05,9190
2020-09-06,10700
2020-09-07,9474
2020-09-08,10466
2020-09-09,11250
2020-09-10,10979
2020-09-11,10340
2020-09-12,9953
2020-09-13,10399
2020-09-14,9989
2020-09-15,10941
2020-09-16,10815
2020-09-17,9799
2020-09-18,9558
2020-09-19,9800
2020-09-20,21823
2020-09-21,9876
2020-09-22,10935
2020-09-23,10967
2020-09-24,9807
2020-09-25,9546
2020-09-26,9441
2020-09-27,9510
2020-09-28,9490
2020-09-29,11050
2020-09-30,10638
2020-10-01,9924
2020-10-02,9800
2020-10-03,9637
2020-10-04,8694
2020-10-05,9332
2020-10-06,10892
2020-10-07,10565
2020-10-08,9706
2020-10-09,9272
2020-10-10,8723
2020-10-11,19430
2020-10-12,9268
2020-10-13,10174
2020-10-14,10920
2020-10-15,9778
2020-10-16,9332
2020-10-17,9728
2020-10-18,9316
2020-10-19,9610
2020-10-20,10726
2020-10-21,10738
2020-10-22,9600
2020-10-23,9234
2020-10-24,9446
2020-10-25,8897
2020-10-26,9708
2020-10-27,10850
2020-10-28,10571
2020-10-29,9812
2020-10-30,9304
2020-10-31,8627
2020-11-01,14594
2020-11-02,10519
2020-11-03,10938
2020-11-04,9310
2020-11-05,8853
2020-11-06,8705
2020-11-07,9273
2020-11-08,8154
2020-11-09,8545
2020-11-10,11536
2020-11-11,10318
2020-11-12,9180
2020-11-13,9842
2020-11-14,10065
2020-11-15,9426
2020-11-16,9926
2020-11-17,10584
2020-11-18,10642
2020-11-19,9772
2020-11-20,9343
